order,nr,sh,n,cost_bps
ABCD,0.5261239157161559,0.04858687197439312,23,0.0
ABDC,0.5261239157161559,0.04858687197439312,23,0.0
ACBD,-1.3381684411564725,-0.055959293857761695,22,0.0
ACDB,-2.748645666757296,-0.12588460602984072,16,0.0
ADBC,-0.9110053785690223,-0.025992600751953893,17,0.0
ADCB,-2.748645666757296,-0.12588460602984072,16,0.0
BACD,0.5261239157161559,0.04858687197439312,23,0.0
BADC,0.5261239157161559,0.04858687197439312,23,0.0
BCAD,0.5261239157161559,0.04858687197439312,23,0.0
BCDA,0.5261239157161559,0.04858687197439312,23,0.0
BDAC,0.5261239157161559,0.04858687197439312,23,0.0
BDCA,0.5261239157161559,0.04858687197439312,23,0.0
CABD,-1.3381684411564725,-0.055959293857761695,22,0.0
CADB,-2.748645666757296,-0.12588460602984072,16,0.0
CBAD,-1.3381684411564725,-0.055959293857761695,22,0.0
CBDA,-1.3381684411564725,-0.055959293857761695,22,0.0
CDAB,-2.748645666757296,-0.12588460602984072,16,0.0
CDBA,-2.748645666757296,-0.12588460602984072,16,0.0
DABC,-0.9110053785690223,-0.025992600751953893,17,0.0
DACB,-2.748645666757296,-0.12588460602984072,16,0.0
DBAC,-0.9110053785690223,-0.025992600751953893,17,0.0
DBCA,-0.9110053785690223,-0.025992600751953893,17,0.0
DCAB,-2.748645666757296,-0.12588460602984072,16,0.0
DCBA,-2.748645666757296,-0.12588460602984072,16,0.0
ABCD,-0.050264529202284754,0.01726021113186805,23,5.0
ABDC,-0.050264529202284754,0.01726021113186805,23,5.0
ACBD,-1.8797924260085683,-0.08642312732186147,22,5.0
ACDB,-3.137675445025228,-0.14639687349895272,16,5.0
ADBC,-1.331601759447367,-0.047639228712080005,17,5.0
ADCB,-3.137675445025228,-0.14639687349895272,16,5.0
BACD,-0.050264529202284754,0.01726021113186805,23,5.0
BADC,-0.050264529202284754,0.01726021113186805,23,5.0
BCAD,-0.050264529202284754,0.01726021113186805,23,5.0
BCDA,-0.050264529202284754,0.01726021113186805,23,5.0
BDAC,-0.050264529202284754,0.01726021113186805,23,5.0
BDCA,-0.050264529202284754,0.01726021113186805,23,5.0
CABD,-1.8797924260085683,-0.08642312732186147,22,5.0
CADB,-3.137675445025228,-0.14639687349895272,16,5.0
CBAD,-1.8797924260085683,-0.08642312732186147,22,5.0
CBDA,-1.8797924260085683,-0.08642312732186147,22,5.0
CDAB,-3.137675445025228,-0.14639687349895272,16,5.0
CDBA,-3.137675445025228,-0.14639687349895272,16,5.0
DABC,-1.331601759447367,-0.047639228712080005,17,5.0
DACB,-3.137675445025228,-0.14639687349895272,16,5.0
DBAC,-1.331601759447367,-0.047639228712080005,17,5.0
DBCA,-1.331601759447367,-0.047639228712080005,17,5.0
DCAB,-3.137675445025228,-0.14639687349895272,16,5.0
DCBA,-3.137675445025228,-0.14639687349895272,16,5.0
ABCD,-0.6234910662663286,-0.013936076453432271,23,10.0
ABDC,-0.6234910662663286,-0.013936076453432271,23,10.0
ACBD,-2.41857753827679,-0.11668302626747074,22,10.0
ACDB,-3.5252459438482884,-0.1667599942128154,16,10.0
ADBC,-1.7505175014066159,-0.06917724960678742,17,10.0
ADCB,-3.5252459438482884,-0.1667599942128154,16,10.0
BACD,-0.6234910662663286,-0.013936076453432271,23,10.0
BADC,-0.6234910662663286,-0.013936076453432271,23,10.0
BCAD,-0.6234910662663286,-0.013936076453432271,23,10.0
BCDA,-0.6234910662663286,-0.013936076453432271,23,10.0
BDAC,-0.6234910662663286,-0.013936076453432271,23,10.0
BDCA,-0.6234910662663286,-0.013936076453432271,23,10.0
CABD,-2.41857753827679,-0.11668302626747074,22,10.0
CADB,-3.5252459438482884,-0.1667599942128154,16,10.0
CBAD,-2.41857753827679,-0.11668302626747074,22,10.0
CBDA,-2.41857753827679,-0.11668302626747074,22,10.0
CDAB,-3.5252459438482884,-0.1667599942128154,16,10.0
CDBA,-3.5252459438482884,-0.1667599942128154,16,10.0
DABC,-1.7505175014066159,-0.06917724960678742,17,10.0
DACB,-3.5252459438482884,-0.1667599942128154,16,10.0
DBAC,-1.7505175014066159,-0.06917724960678742,17,10.0
DBCA,-1.7505175014066159,-0.06917724960678742,17,10.0
DCAB,-3.5252459438482884,-0.1667599942128154,16,10.0
DCBA,-3.5252459438482884,-0.1667599942128154,16,10.0
ABCD,-1.7605245775934892,-0.07583374416156163,23,20.0
ABDC,-1.7605245775934892,-0.07583374416156163,23,20.0
ACBD,-3.4876877757559765,-0.17649516961511721,22,20.0
ACDB,-4.296029526875634,-0.20700253887940936,16,20.0
ADBC,-2.5833322356207526,-0.11188465870236963,17,20.0
ADCB,-4.296029526875634,-0.20700253887940936,16,20.0
BACD,-1.7605245775934892,-0.07583374416156163,23,20.0
BADC,-1.7605245775934892,-0.07583374416156163,23,20.0
BCAD,-1.7605245775934892,-0.07583374416156163,23,20.0
BCDA,-1.7605245775934892,-0.07583374416156163,23,20.0
BDAC,-1.7605245775934892,-0.07583374416156163,23,20.0
BDCA,-1.7605245775934892,-0.07583374416156163,23,20.0
CABD,-3.4876877757559765,-0.17649516961511721,22,20.0
CADB,-4.296029526875634,-0.20700253887940936,16,20.0
CBAD,-3.4876877757559765,-0.17649516961511721,22,20.0
CBDA,-3.4876877757559765,-0.17649516961511721,22,20.0
CDAB,-4.296029526875634,-0.20700253887940936,16,20.0
CDBA,-4.296029526875634,-0.20700253887940936,16,20.0
DABC,-2.5833322356207526,-0.11188465870236963,17,20.0
DACB,-4.296029526875634,-0.20700253887940936,16,20.0
DBAC,-2.5833322356207526,-0.11188465870236963,17,20.0
DBCA,-2.5833322356207526,-0.11188465870236963,17,20.0
DCAB,-4.296029526875634,-0.20700253887940936,16,20.0
DCBA,-4.296029526875634,-0.20700253887940936,16,20.0
