order,n,w,l,wr,aw,al,nr,eq,sh,mdd,B,O,rA,rB,rC,rD,p1,p2,p3,p4,time
ABCD,34,20,14,58.82352941176471,1.6171509137231965,-1.4840688209757806,6.245171792157739,1062451.7179215774,3.4630069213902974,-1.4943750000000076,31,3,2055,11339,41,438,2055,11339,41,438,0.25542712211608887
ABDC,34,20,14,58.82352941176471,1.6171509137231965,-1.4840688209757806,6.245171792157739,1062451.7179215774,3.4630069213902974,-1.4943750000000076,31,3,2055,11339,5,474,2055,11339,474,5,0.24059772491455078
ACBD,32,19,13,59.375,1.6101588565507328,-1.4828433456662242,6.119486525304359,1061194.8652530436,3.611915886447551,-1.4943750000000022,29,3,2055,10401,1016,411,2055,1016,10401,411,0.505932092666626
ACDB,24,13,11,54.166666666666664,1.750000000000007,-1.479723953969173,3.603066153718403,1036030.661537184,2.6596038966849274,-1.6314141901636092,21,3,2055,1023,1016,9839,2055,1016,9839,1023,0.49939799308776855
ADBC,26,14,12,53.84615384615385,1.750000000000007,-1.4814136244717426,3.725771035194199,1037257.710351942,2.547251581749168,-1.6314141901636083,23,3,2055,1071,5,10797,2055,10797,1071,5,0.5286290645599365
ADCB,24,13,11,54.166666666666664,1.750000000000007,-1.479723953969173,3.603066153718403,1036030.661537184,2.6596038966849274,-1.6314141901636092,21,3,2055,1023,58,10797,2055,10797,58,1023,0.5273370742797852
BACD,34,20,14,58.82352941176471,1.6171509137231965,-1.4840688209757806,6.245171792157739,1062451.7179215774,3.4630069213902974,-1.4943750000000076,31,3,0,13394,41,438,13394,0,41,438,0.23777103424072266
BADC,34,20,14,58.82352941176471,1.6171509137231965,-1.4840688209757806,6.245171792157739,1062451.7179215774,3.4630069213902974,-1.4943750000000076,31,3,0,13394,5,474,13394,0,474,5,0.23992490768432617
BCAD,34,20,14,58.82352941176471,1.6171509137231965,-1.4840688209757806,6.245171792157739,1062451.7179215774,3.4630069213902974,-1.4943750000000076,31,3,0,13394,41,438,13394,41,0,438,0.23555302619934082
BCDA,34,20,14,58.82352941176471,1.6171509137231965,-1.4840688209757806,6.245171792157739,1062451.7179215774,3.4630069213902974,-1.4943750000000076,31,3,0,13394,41,438,13394,41,438,0,0.23632192611694336
BDAC,34,20,14,58.82352941176471,1.6171509137231965,-1.4840688209757806,6.245171792157739,1062451.7179215774,3.4630069213902974,-1.4943750000000076,31,3,0,13394,5,474,13394,474,0,5,0.24086666107177734
BDCA,34,20,14,58.82352941176471,1.6171509137231965,-1.4840688209757806,6.245171792157739,1062451.7179215774,3.4630069213902974,-1.4943750000000076,31,3,0,13394,5,474,13394,474,5,0,0.24457907676696777
CABD,32,19,13,59.375,1.6101588565507328,-1.4828433456662242,6.119486525304359,1061194.8652530436,3.611915886447551,-1.4943750000000022,29,3,1926,10401,1145,411,1145,1926,10401,411,0.5524032115936279
CADB,24,13,11,54.166666666666664,1.750000000000007,-1.479723953969173,3.603066153718403,1036030.661537184,2.6596038966849274,-1.6314141901636092,21,3,1926,1023,1145,9839,1145,1926,9839,1023,0.5502529144287109
CBAD,32,19,13,59.375,1.6101588565507328,-1.4828433456662242,6.119486525304359,1061194.8652530436,3.611915886447551,-1.4943750000000022,29,3,0,12327,1145,411,1145,12327,0,411,0.5514187812805176
CBDA,32,19,13,59.375,1.6101588565507328,-1.4828433456662242,6.119486525304359,1061194.8652530436,3.611915886447551,-1.4943750000000022,29,3,0,12327,1145,411,1145,12327,411,0,0.5556910037994385
CDAB,24,13,11,54.166666666666664,1.750000000000007,-1.479723953969173,3.603066153718403,1036030.661537184,2.6596038966849274,-1.6314141901636092,21,3,80,1023,1145,11685,1145,11685,80,1023,0.5481560230255127
CDBA,24,13,11,54.166666666666664,1.750000000000007,-1.479723953969173,3.603066153718403,1036030.661537184,2.6596038966849274,-1.6314141901636092,21,3,0,1103,1145,11685,1145,11685,1103,0,0.5486798286437988
DABC,26,14,12,53.84615384615385,1.750000000000007,-1.4814136244717426,3.725771035194199,1037257.710351942,2.547251581749168,-1.6314141901636083,23,3,84,1071,5,12768,12768,84,1071,5,0.5790598392486572
DACB,24,13,11,54.166666666666664,1.750000000000007,-1.479723953969173,3.603066153718403,1036030.661537184,2.6596038966849274,-1.6314141901636092,21,3,84,1023,58,12768,12768,84,58,1023,0.5808990001678467
DBAC,26,14,12,53.84615384615385,1.750000000000007,-1.4814136244717426,3.725771035194199,1037257.710351942,2.547251581749168,-1.6314141901636083,23,3,0,1155,5,12768,12768,1155,0,5,0.5501348972320557
DBCA,26,14,12,53.84615384615385,1.750000000000007,-1.4814136244717426,3.725771035194199,1037257.710351942,2.547251581749168,-1.6314141901636083,23,3,0,1155,5,12768,12768,1155,5,0,0.5487120151519775
DCAB,24,13,11,54.166666666666664,1.750000000000007,-1.479723953969173,3.603066153718403,1036030.661537184,2.6596038966849274,-1.6314141901636092,21,3,80,1023,62,12768,12768,62,80,1023,0.5757780075073242
DCBA,24,13,11,54.166666666666664,1.750000000000007,-1.479723953969173,3.603066153718403,1036030.661537184,2.6596038966849274,-1.6314141901636092,21,3,0,1103,62,12768,12768,62,1103,0,0.5826890468597412
