train_start,train_end,test_start,test_end,k_selected,is_nr,oos_nr,oos_n,oos_sh,oos_mdd
2020-07-01,2021-06-30,2021-07-01,2021-09-30,0.5,0.29848327241441003,0.0,0,0.0,0.0
2020-10-01,2021-09-30,2021-10-01,2021-12-31,0.5,0.29848327241441003,1.2632409804444296,2,2.0160645150967413,0.0
2021-01-01,2021-12-31,2022-01-01,2022-03-31,1.0,4.369547550835938,0.16180185723536414,4,0.4805797961579886,-0.46269049460526185
2021-04-01,2022-03-31,2022-04-01,2022-06-30,1.0,2.3128712658585164,0.0,0,0.0,0.0
2021-07-01,2022-06-30,2022-07-01,2022-09-30,1.0,2.3128712658585164,-3.957476590041211,2,0.0,0.0
2021-10-01,2022-09-30,2022-10-01,2022-12-31,1.0,-1.7361366630868407,-1.0423681606591098,2,-2.0325224576824743,-1.0423681606591098
2022-01-01,2022-12-31,2023-01-01,2023-03-31,1.0,-4.804814513536146,0.0,0,0.0,0.0
2022-04-01,2023-03-31,2023-04-01,2023-06-30,1.0,-4.958593274760188,0.0,0,0.0,0.0
2022-07-01,2023-06-30,2023-07-01,2023-09-30,1.0,-4.958593274760188,0.0,0,0.0,0.0
2022-10-01,2023-09-30,2023-10-01,2023-12-31,1.0,-1.0423681606591098,0.0,0,0.0,0.0
2023-01-01,2023-12-31,2024-01-01,2024-03-31,0.5,0.0,0.0,0,0.0,0.0
2023-04-01,2024-03-31,2024-04-01,2024-06-30,0.5,0.0,0.0,0,0.0,0.0
2023-07-01,2024-06-30,2024-07-01,2024-09-30,0.5,0.0,-1.6794200257525431,2,-0.9506864234275931,-3.1099505048314926
2023-10-01,2024-09-30,2024-10-01,2024-12-31,1.0,1.6944263519323548,2.035079601905553,2,2.0160645150967413,0.0
